,city,job_title,company_name,location,summary,salary,og_salary_period
201,dallas,vp  head of data  analytics   machine learning,blucora,irving  tx,build customer centric revenue generating data products using internal and external data  form external data partnerships to collect third party data  append it   ,,
202,dallas,natural language processing scientist,pieces technologies,dallas  tx,designs novel algorithms for problem solving  which may include data cleaning  feature selection  statistical modeling  data clustering and classification  text   ,,
203,dallas,sr  data scientist  predictive analytics,abbott laboratories,irving  tx,trains lower level scientists  evaluates data using analytical methodologies to achieve results  main responsibilities designs and conducts experiments    ,,
205,dallas,global operations data science associate analyst,pepsico,plano  tx,the data scientist will be part of global logistics analytics team who is tasked with building advance analytics capabilities to identify and deliver   ,,
206,dallas,vp  head of data  analytics   machine learning,infospace  inc ,irving  tx,build customer centric revenue generating data products using internal and external data  form external data partnerships to collect third party data  append it   ,,
207,dallas,fair lending statistician,happy state bank,addison  tx,apply statistical techniques to streamline data collection from multiple datasets and data validation procedures    ,,
208,dallas,ultimate hoops statistician,life time fitness,plano  tx,experience tracking statistical data for basketball games  life time is currently seeking a qualified ultimate hoops statistician    ,,
209,dallas,quantitative analyst   data scientist,data one global,plano  tx,job description for data one quantitative analyst   data scientist:  about data one global   experience with processing and coding real time data    ,,
210,dallas,professional big data software eng   big data,at t,plano  tx,interacts with data scientists and industry experts to understand how data needs to be converted  loaded and presented    ,,
211,dallas,healthcare data analyst   dallas or houston,quality health strategies,dallas  tx,reports are drafted by teams with leadership of data scientists  data analyst iv:  our data analysts perform study design  data analysis  and report preparation   ,,
212,dallas,big data   machine learning developer,techpeople,dallas  tx,deployment ¿ microservices  opensource  big data  spark  data characteristics and catalog management platform skills  ontologies  erd  repos     ,,
213,dallas,director  machine learning,capital one,plano  tx,at least 3 years’ experience with data management technologies  big  undefined problems and petabytes of data don't frighten you    ,,
214,dallas,director of analytics,wunderman,dallas  tx,headquartered in new york  the agency brings together 7 000 creatives  data scientists  strategists and technologists in 175 offices in 60 markets    ,,
